link,title,location,price,area,category,direction,floor_num,toilet_num,street,livingroom_num,bedroom_num,liability,status
https://nhadat.cafeland.vn/ban-nha-2-tang-dep-trung-tam-phuong-vo-cuong-tp-bac-ninh-gia-sieu-re-chi-5x-2269798.html,bán nhà 2 tầng đẹp trung tâm phường võ cường / tp Bắc ninh giá siêu rẻ chỉ 5.x,"Võ Cường, TP. Bắc Ninh, Bắc Ninh Lưu tin","~77,4 triệu /m2",71m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/sieu-pham-le-trong-tan-hxh-5m-khu-cao-tang-4-tang-moi-full-noi-that-2269920.html,SIÊU PHẨM LÊ TRỌNG TẤN HXH 5M - KHU CAO TẦNG - 4 TẦNG MỚI FULL NỘI THẤT,"Lê Trọng Tấn, Tây Thạnh , Quận Tân Phú, TP. Hồ Chí Minh Lưu tin",~131 triệu/m2,45m2,Bán nhà riêng,,4 tầng,4.0,5m,1.0,4 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/mo-ban-du-an-economy-city-van-lam-co-hoi-dau-tu-phia-nam-ha-noi-2262935.html,Mở bán dự án Economy City Văn Lâm - cơ hội đầu tư phía nam Hà Nội!,"Như Quỳnh, Văn Lâm, Hưng Yên Lưu tin",~118 triệu/m2,80m2,Bán biệt thự,,,,,,,,processed
https://nhadat.cafeland.vn/gio-hang-diamond-celadon-city-mua-truc-tiep-tu-cdt-thanh-toan-20-nhan-nha-2252161.html,Giỏ hàng Diamond - Celadon City mua trực tiếp từ CĐT thanh toán 20% nhận nhà,"Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh Lưu tin","~74,3 triệu /m2",121m2,Bán nhà riêng,,,,,,,,processed
https://nhadat.cafeland.vn/building-karaoke-studio-trung-tam-q7-1h6tngang-10mx20m120tylh-0906979786-2268782.html,"BUILDING KARAOKE & STUDIO TRUNG TÂM Q7, 1H,6T,NGANG 10MX20M,120TỶ,LH 0906979786","82, Tân Mỹ, Tân Phú, Quận 7, TP. Hồ Chí Minh Lưu tin",~600 triệu/m2,200m2,Bán nhà hàng - Khách sạn,,,,,,,,processed
https://nhadat.cafeland.vn/nha-dep-go-vap-mat-tien-duong-so-6-ngang-5m-dai-9m-tret-lau-hc-du-2242911.html,Nhà đẹp Gò Vấp mặt tiền đường số 6 ngang 5m dài 9m trêt lau HC đủ.,"Đường số 6, Phường 5, Quận Gò Vấp, TP. Hồ Chí Minh Lưu tin",~115 triệu/m2,44m2,Bán nhà riêng,,1 tầng,2.0,8m,1.0,3 phòng,Sổ hồng,processed
https://nhadat.cafeland.vn/chi-khach-vung-tau-de-thuong-gui-mieng-dat-2ty3-mtduong-so-21bbtd-b-binh-tan-2151073.html,"Chị khách Vũng Tàu dễ thương gửi miếng đất 2tỷ3 MTđường số 21B,BTĐ B ,Bình Tân","Bình Trị Đông B, Quận Bình Tân, TP. Hồ Chí Minh Lưu tin","~19,1 triệu /m2",120m2,Bán đất thổ cư,,,,,,,Sổ hồng,processed
https://nhadat.cafeland.vn/nha-duong-49-p-tan-quy-q7-dt-8x18m-gia-24ty-tl-2257017.html,"Nhà đường 49 p tân quy Q7, Dt 8x18m giá 24tỷ TL","Đường Số 49, Tân Quy, Quận 7, TP. Hồ Chí Minh Lưu tin",~166 triệu/m2,144m2,Bán nhà riêng,,,,,,,,
https://nhadat.cafeland.vn/ban-buong-duoi-thu-hoi-von-5-shr27x501329m2-395-trieusmt-ql14-vao-900m-2270591.html,"BÁN BUÔNG ĐUÔI, THU HỒI VỐN ,5 SHR(27X50=1.329m2 )395 TRIỆU/S,MT ql14 VÀO 900M","Quốc lộ 14, Minh Lập, Chơn Thành, Bình Phước Lưu tin",~297 nghìn/m2,1329m2,Bán đất thổ cư,,,,,,,,
https://nhadat.cafeland.vn/ban-lo-biet-thu-truc-chinh-hoang-anh-minh-tuan-q9-cach-do-xuan-hop-80m-so-do-2242738.html,"Bán lô biệt thự trục chính Hoàng Anh Minh Tuấn Q9, cách Đỗ Xuân Hợp 80m, sổ đỏ","Đỗ Xuân Hợp, Phước Long B, Quận 9, TP. Hồ Chí Minh Lưu tin",~432 nghìn/m2,250m2,Bán đất thổ cư,,,,,,,,
https://nhadat.cafeland.vn/nha-dep-hem-dep-khu-phan-lo-tri-thuc-o-cuc-thich-huong-dong-nam-mat-me-2270465.html,NHÀ ĐẸP - HẺM ĐẸP - KHU PHÂN LÔ TRI THỨC Ở CỰC THÍCH - HƯỚNG ĐÔNG NAM MÁT MẺ,"Phường 13, Bình Thạnh, TP. Hồ Chí Minh Lưu tin",,,Bán nhà riêng,,,,,,,,
https://nhadat.cafeland.vn/nha-mat-tien-trung-tam-da-nang5-phong-ngu2-loi-di-76m2-x-25-tang-11ty800tr-2268589.html,"Nhà mặt tiền trung tâm Đà Nẵng,5 phòng ngủ,2 lối đi, 76m2 x 2,5 tầng, 11tỷ800tr!","361, Hoàng Diệu, Bình Thuận, Hải Châu, TP. Đà Nẵng Lưu tin",~155 triệu/m2,76m2,Bán nhà riêng,Tây Bắc,2 tầng,3.0,10m,1.0,5 phòng,Sổ hồng,
https://nhadat.cafeland.vn/co-hoi-so-huu-can-ho-cao-cap-tai-trung-tam-binh-duong-chi-voi-10-2270763.html,Cơ hội sở hữu căn hộ cao cấp tại trung tâm Bình Dương chỉ với 10%,"Bình Hoà, Thuận An, Bình Dương Lưu tin",,49m2,Bán căn hộ chung cư,,,,,,,,
https://nhadat.cafeland.vn/dat-gan-cho-di-an-2-185m-ngang-5m-full-tho-cu-hem-2-o-to-tranh-nhau-2171-2266314.html,"Đất gần chợ Dĩ An 2, 185m ngang 5m full thổ cư, hẻm 2 ô tô tránh nhau, 2171","Nguyễn tri phương, Trị trấn Dĩ An, Dĩ An, Bình Dương Lưu tin","~29,1 triệu /m2",185m2,Bán đất thổ cư,Tây,,,10m - 15m,,,Sổ hồng,
https://nhadat.cafeland.vn/nha-hem-xe-hoi-74m2-ngang-hon-4m-5pn6wc-khu-vuc-an-ninh-gan-cac-tien-ich-2271061.html,"Nhà hẻm xe hơi, 74m2, ngang hơn 4m, 5pn6wc, khu vực an ninh. Gần các tiện ích.","Tô Hiến Thành, Phường 15, Quận 10, TP. Hồ Chí Minh Lưu tin",~250 triệu/m2,74m2,Bán nhà riêng,,,6.0,,,5 phòng,Giấy tờ hợp lệ,
https://nhadat.cafeland.vn/sang-nhuong-dat-tho-cu-100-5x20m-100m2-kdc-binh-an-thu-thua-long-an-2270621.html,"SANG NHƯỢNG ĐẤT THỔ CƯ 100% – 5x20M (100m²) – KDC BÌNH AN, THỦ THỪA, LONG AN","Bình An, Thủ Thừa, Long An Lưu tin",~11 triệu /m2,100m2,Bán đất thổ cư,,,,,,,Sổ hồng,
https://nhadat.cafeland.vn/chuyen-nhuong-151225-m2-dat-kim-cuong-mat-bien-binh-son-ninh-thuan-2271027.html,"Chuyển nhượng 1.512,25 m² đất kim cương mặt biển Bình Sơn, Ninh Thuận","Mỹ Bình, Phan Rang - Tháp Chàm, Ninh Thuận Lưu tin","~46,296/m2",1512m2,Bán biệt thự,,,,,,,,
https://nhadat.cafeland.vn/dat-nen-tp-vi-thanh-hau-giang-dau-tu-dat-nen-hau-giang-ke-ben-tinh-uy-hau-giang-2258342.html,"Đất nền TP Vị Thanh Hậu Giang, Đầu tư đất nền Hậu Giang kề bên Tỉnh Uỷ Hậu Giang","Võ Nguyên Giáp, 4, Vị Thanh, Hậu Giang Lưu tin",~126 nghìn/m2,95m2,Bán đất nền dự án,,,,15m - 20m,,,Sổ hồng,
https://nhadat.cafeland.vn/sieu-pham-can-ho-the-filmore-view-song-han-cau-rong-ck-hon-135-da-ban-giao-nha-2247959.html,Siêu phẩm căn hộ The Filmore view sông Hàn cầu Rồng ck hơn 13.5 %đã bàn giao nhà,"Bạch Đằng, Bình Thuận, Hải Châu, TP. Đà Nẵng Lưu tin","~87,5 triệu /m2",80m2,Bán căn hộ chung cư,,16 tầng,2.0,30m - 50m,1.0,2 phòng,Sổ hồng,
https://nhadat.cafeland.vn/chi-100-trm2-nha-hxh-793-tran-xuan-soan-kieu-dam-q7223m2-3-lau219-ty-2269027.html,"Chỉ 100 tr/m2, nhà HXH 793 Trần Xuân Soạn -Kiều Đàm Q.7,223m2 ,3 lầu,21.9 tỷ","Trần Xuân Soạn, Tân Hưng, Quận 7, TP. Hồ Chí Minh Lưu tin","~98,2 triệu /m2",223m2,Bán biệt thự,,,,,,,,
https://nhadat.cafeland.vn/ban-can-ho-4-pn-phu-my-hung-quan-7-2266274.html,"Bán căn hộ 4 PN , Phú Mỹ Hưng quận 7","Tân Phong, Quận 7, TP. Hồ Chí Minh Lưu tin","~43,6 triệu /m2",172m2,Bán căn hộ chung cư,,,3.0,,1.0,4 phòng,Sổ hồng,
